Question,Answer
What colour are London buses?,London buses are red
When I go to London what colour bus will I see?,London buses are red
Are London buses red?,London buses are red
Are London buses blue?,London buses are red
What colour is a London bus?,London buses are red
What colour are London taxis?,London taxis are black
When I go to London what colour taxi will I see?,London taxis are black
Are London taxis black?,London taxis are black
Are London taxis yellow?,London taxis are black
What colour is a London taxi?,London taxis are black
What colour are New York taxis?,New York taxis are Yellow
When I go to New York what colour taxi will I see?,New York taxis are Yellow
Are New York taxis yellow?,New York taxis are Yellow
Are New York taxis blue?,New York taxis are Yellow
What colour is a New York taxi?,New York taxis are Yellow
What colour are Bournemouth taxis?,Bournemouth taxis are Pink
When I go to Bournemouth what colour taxi will I see?,Bournemouth taxis are Pink
Are Bournemouth taxis Pink?,Bournemouth taxis are Pink
Are Bournemouth taxis red?,Bournemouth taxis are Pink
What colour is a Bournemouth taxi?,Bournemouth taxis are Pink
What colour are UK flags?,"The Union Jack is Red, Blue and White"
When I go to the UK what colour flags will I see?,"The Union Jack is Red, Blue and White"
Are UK flags red?,"The Union Jack is Red, Blue and White"
Are UK flags black?,"The Union Jack is Red, Blue and White"
What colour is the UK flag?,"The Union Jack is Red, Blue and White"
